time,IP,SXR,FIR,PD,DML,P_LHfr_RT,LHD_label,ELM_label,ST_MD_label1,ST_MD_label2
0,963.312321623119,NaN,NaN,2.255859375,-6.18462088918829e-06,NaN,0,0,0,0
0.0001,967.135817969914,NaN,5.27482700293991e+17,2.2705078125,-4.58037143911068e-06,NaN,0,0,0,0
0.0002,967.850662615698,NaN,5.24171703127679e+17,2.25585916768506,-1.11996013549628e-05,NaN,0,0,0,0
0.0003,965.170648259085,NaN,5.19736089555042e+17,2.25829995562733,-1.6954684404638e-05,NaN,0,0,0,0
0.0004,993.93146092749,NaN,5.36718591491896e+17,2.24609582314944,-1.2334789436129e-05,NaN,0,0,0,0
0.0005,964.493145917526,NaN,5.34776358443931e+17,2.25830263617318,-1.08666530749088e-05,NaN,0,0,0,0
0.0006,977.729766786981,NaN,5.24376300925522e+17,2.25585999694483,-1.05260422498414e-05,NaN,0,0,0,0
0.0007,997.212713462479,NaN,5.23107500190977e+17,2.25097574051443,-8.90291324879153e-06,NaN,0,0,0,0
0.0008,947.483054862676,NaN,5.13517436542599e+17,2.2412109375,-5.20777848519493e-06,NaN,0,0,0,0
0.0009,964.62782660545,NaN,5.40731383319497e+17,2.2412109375,-2.36867629682603e-06,NaN,0,0,0,0
0.001,976.369750352098,NaN,5.14291220484162e+17,2.25586184823091,-5.56276096226454e-06,NaN,0,0,0,0
0.0011,961.161148306981,NaN,5.13756721795279e+17,2.24609373545158,1.86597688215333e-06,NaN,0,0,0,0
0.0012,982.106960475874,NaN,4.95306932730191e+17,2.25097759180051,6.12861473590273e-06,NaN,0,0,0,0
0.0013,983.518489229994,NaN,5.02551224586222e+17,2.25098026679669,4.79569524652499e-06,NaN,0,0,0,0
0.0014,966.653921412559,NaN,5.14250763255488e+17,2.25585773102886,-9.18537428618896e-07,NaN,0,0,0,0
0.0015,967.981588678044,NaN,5.15272291161151e+17,2.25097799982534,-3.24996309120666e-06,NaN,0,0,0,0
0.0016,968.871501719053,NaN,5.18703813129994e+17,2.24609375,-6.26241216930499e-06,NaN,0,0,0,0
0.0017,980.746987513502,NaN,5.35474940109098e+17,2.24853669000349,-7.41489640908417e-06,NaN,0,0,0,0
0.0018,977.053449998835,NaN,5.15691688908166e+17,2.25585896745459,-9.2589745496719e-06,NaN,0,0,0,0
0.0019,994.955772607946,NaN,5.29539320482536e+17,2.25097717017932,-1.45144418563581e-05,NaN,0,0,0,0
0.002,978.105494957725,NaN,5.42500628389249e+17,2.28515625,-1.40564717459388e-05,NaN,0,0,0,0
0.0021,994.611012073059,NaN,5.42777360178209e+17,2.25585918214369,-1.2979343484558e-05,NaN,0,0,0,0
0.0022,991.063358945266,NaN,5.42100453769375e+17,2.23144534159683,-1.38137848801247e-05,NaN,0,0,0,0
0.0023,978.967415186885,NaN,5.30123552400388e+17,2.2509765625,-1.33188579183665e-05,NaN,0,0,0,0
0.0024,975.530193272427,NaN,5.65577450308506e+17,2.23144552708915,-1.37082447080217e-05,NaN,0,0,0,0
0.0025,987.918434015606,NaN,5.59912679662925e+17,2.265625,-1.28408646337133e-05,NaN,0,0,0,0
0.0026,984.159214785086,NaN,5.8366551747662e+17,2.24121220321229,-8.68533892805638e-06,NaN,0,0,0,0
0.0027,974.791310019368,NaN,5.50207642338616e+17,2.255859375,-3.49453051255747e-06,NaN,0,0,0,0
0.0028,992.772359362662,NaN,5.76940813990069e+17,2.2705078125,-1.57615158283779e-06,NaN,0,0,0,0
0.0029,989.94639146212,NaN,5.78212945988687e+17,2.25585856756285,-5.9012193974593e-06,NaN,0,0,0,0
0.003,997.641110976609,NaN,5.64834464449883e+17,2.24609805996858,-1.09865086992998e-05,NaN,0,0,0,0
0.0031,986.089198869795,NaN,5.86314145432633e+17,2.24609414280726,-1.20235618541538e-05,NaN,0,0,0,0
0.0032,977.707235435235,NaN,5.99195712934232e+17,2.24120724947626,-1.15609117961702e-05,NaN,0,0,0,0
0.0033,963.683387723829,NaN,6.14009441632266e+17,2.26318360466131,-1.3929857834373e-05,NaN,0,0,0,0
0.0034,959.65347758597,NaN,6.1549511505839e+17,2.2558603970263,-1.28410921274799e-05,NaN,0,0,0,0
0.0035,940.439603424254,NaN,6.11463826326073e+17,2.24853423745342,-1.0018303356185e-05,NaN,0,0,0,0
0.0036,924.53241569379,NaN,6.3573712163261e+17,2.24121256692272,-9.97105125665717e-06,NaN,0,0,0,0
0.0037,937.188650863076,NaN,6.36963475445259e+17,2.26562642277014,-1.38188079911069e-05,NaN,0,0,0,0
0.0038,952.82538134463,NaN,6.37276916607975e+17,2.26562560739642,-1.79530844976307e-05,NaN,0,0,0,0
0.0039,933.853292088445,NaN,6.2084549881545e+17,2.24853465227643,-1.73632612047652e-05,NaN,0,0,0,0
0.004,925.4084243909,NaN,6.26067788108864e+17,2.25097616223218,-2.04630985514927e-05,NaN,0,0,0,0
0.0041,916.414382043472,NaN,6.24517854627272e+17,2.25341826531206,-1.53866301153393e-05,NaN,0,0,0,0
0.0042,940.742758589211,NaN,6.26591645075379e+17,2.24609452142524,-1.05793759565916e-05,NaN,0,0,0,0
0.0043,928.853184754335,NaN,6.25665433976827e+17,2.28027361580112,-1.30061539848072e-05,NaN,0,0,0,0
0.0044,947.719283426489,NaN,6.35184208485223e+17,2.27539059590317,-2.09619258809439e-05,NaN,0,0,0,0
0.0045,926.302067504446,NaN,6.02307062849805e+17,2.2631846121392,-2.62904920928773e-05,NaN,0,0,0,0
0.0046,944.078929421535,NaN,6.0142648223671e+17,2.255859375,-2.69230110404976e-05,NaN,0,0,0,0
0.0047,946.248004117411,NaN,5.88559557753326e+17,2.25586099714851,-3.15987481665596e-05,NaN,0,0,0,0
0.0048,914.146889711873,NaN,5.78969828454182e+17,2.24121179585661,-2.74417351918915e-05,NaN,0,0,0,0
0.0049,897.283212091101,NaN,5.61836472079615e+17,2.26073977246276,-1.81583254142965e-05,NaN,0,0,0,0
0.005,885.465971729156,NaN,5.27440075757714e+17,2.27050972197975,-1.58178413120507e-05,NaN,0,0,0,0
0.0051,884.389151240665,NaN,5.32489402865394e+17,2.29492266788873,-1.92271096595739e-05,NaN,0,0,0,0
0.0052,908.211365380801,NaN,5.48274217062249e+17,2.2802734375,-1.88942778866559e-05,NaN,0,0,0,0
0.0053,897.288530029239,NaN,5.34449660959e+17,2.28515662825885,-1.85581964980782e-05,NaN,0,0,0,0
0.0054,871.826858172127,NaN,5.36812856249292e+17,2.275390625,-1.23841325084733e-05,NaN,0,0,0,0
0.0055,840.531739172261,NaN,5.42393571126498e+17,2.28027347387104,-1.05800399030632e-05,NaN,0,0,0,0
0.0056,823.255502386933,NaN,5.5221095731878e+17,2.30468547049581,-9.80071349309036e-06,NaN,0,0,0,0
0.0057,808.047943256946,NaN,5.56227059144494e+17,2.29736054669306,-7.59930780623541e-06,NaN,0,0,0,0
0.0058,807.15706456859,NaN,5.74668763940523e+17,2.3095719273743,-7.98949791706979e-06,NaN,0,0,0,0
0.0059,783.973744632515,NaN,5.681191106233e+17,2.31445453321495,-1.51456620093779e-05,NaN,0,0,0,0
0.006,748.733643724626,NaN,5.71785453836253e+17,2.31933653762221,-1.49687932797653e-05,NaN,0,0,0,0
0.0061,719.857356753547,NaN,5.62786489221348e+17,2.33398536839194,-1.23937919246353e-05,NaN,0,0,0,0
0.0062,687.587667547745,NaN,5.71465813221206e+17,2.3291015625,-8.62902499446673e-06,NaN,0,0,0,0
0.0063,636.782767984231,NaN,5.7022655122958e+17,2.3364266491034,-6.13582142645657e-06,NaN,0,0,0,0
0.0064,563.30582184497,NaN,5.67534178280432e+17,2.36816294902771,-1.60193568974159e-06,NaN,0,0,0,0
0.0065,535.353463059399,NaN,5.72975579331485e+17,2.37060538687704,1.42396596971038e-06,NaN,0,0,0,0
0.0066,520.004854231693,NaN,5.94554139293559e+17,2.392578125,-2.10297028332399e-06,NaN,0,0,0,0
0.0067,453.678170649815,NaN,5.70694676376359e+17,2.39990133263501,-6.56346399194874e-06,NaN,0,0,0,0
0.0068,424.16841571444,NaN,5.87828310501925e+17,2.41699172922486,-8.86812232980917e-06,NaN,0,0,0,0
0.0069,342.168943083981,NaN,5.9817402897913e+17,2.42431560244995,-1.05383480792334e-05,NaN,0,0,0,0
0.007,291.61918464015,NaN,5.96580504972802e+17,2.43652387395251,-1.26455877429217e-05,NaN,0,0,0,0
0.0071,223.095782730673,NaN,6.03722617897349e+17,2.44628548358939,-5.06464390885141e-06,NaN,0,0,0,0
0.0072,147.799573570773,NaN,6.03105124198335e+17,2.45116929993017,2.3608724357287e-06,NaN,0,0,0,0
0.0073,94.2277410467609,NaN,5.98807763097767e+17,2.47070234665968,2.97468691576328e-06,NaN,0,0,0,0
0.0074,20.9554302747758,NaN,6.10077602058009e+17,2.52441121828445,-8.23617112541164e-08,NaN,0,0,0,0
0.0075,64.540642062167,NaN,6.05353548314777e+17,2.54394567621043,-7.65874119597477e-07,NaN,0,0,0,0
0.0076,194.492975010417,NaN,5.98914353394561e+17,2.54394288291434,-4.67785126639359e-06,NaN,0,0,0,0
0.0077,316.661035480122,NaN,5.95632059965537e+17,2.54394536341946,-4.69143128627384e-06,NaN,0,0,0,0
0.0078,406.202218843059,NaN,5.88879133779096e+17,2.57812701495577,-3.95878465953178e-06,NaN,0,0,0,0
0.0079,534.489479666491,NaN,6.07763480438704e+17,2.60253725401723,4.86160853737233e-06,NaN,0,0,0,0
0.008,635.659546263921,NaN,6.19790915586409e+17,2.62695152467412,1.0566696603771e-05,NaN,0,0,0,0
0.0081,733.181226975705,NaN,6.26462804047137e+17,2.63183454384024,8.7529484396747e-06,NaN,0,0,0,0
0.0082,785.391600377107,NaN,6.38522601561498e+17,2.65624822145601,1.57515297428166e-06,NaN,0,0,0,0
0.0083,924.155343878734,NaN,6.50698746290574e+17,2.67334033316837,-7.73841672970135e-06,NaN,0,0,0,0
